Name,Type,open,hour,Score,Review,Link,Addr,dis(min)
팀호완 삼성점,중식,브레이크타임,매일 11:30 ~ 21:30,3.5,723,,서울 강남구 봉은사로86길 30 1층,11
수담한정식,한정식,브레이크타임,매일 11:30 ~ 22:00,3.4,174,,서울 강남구 봉은사로 418,21
능라도 강남점,냉면,영업중,매일 11:30 ~ 21:30,3.8,97,,서울 강남구 삼성로 534,7
경천애인2237 삼성본점,"육류,고기",영업중,월~토 11:30 ~ 21:00,4.1,97,,서울 강남구 테헤란로 421 암천빌딩 3층,6
길목,"육류,고기",영업중,월~금 16:00 ~ 23:00,4.2,327,,서울 강남구 영동대로129길 10 1층,30
곰바위,"곱창,막창",영업중,매일 11:00 ~ 23:00,3.1,20,,서울 강남구 영동대로115길 10,20
봉밀가,한식,영업중,월~토 11:30 ~ 21:30,4.3,135,,서울 강남구 선릉로 664 1층,34
외고집설렁탕,설렁탕,영업중,월~토 11:00 ~ 21:00,3.3,72,,서울 강남구 삼성로 555 알앤텍빌딩 1층,10
젠제로,아이스크림,휴무일,월요일,4.4,268,,서울 강남구 선릉로126길 14 1층,32
시추안하우스 삼성점,중화요리,영업중,매일 11:30 ~ 22:00,3.3,89,,서울 강남구 테헤란로87길 29 M타워 1층,8
마노디셰프 삼성점,이탈리안,영업중,매일 11:30 ~ 22:30,3.8,54,,서울 강남구 테헤란로87길 21 동성빌딩 지하1층,7
바이킹스워프 코엑스점,바닷가재,브레이크타임,월~금 12:00 ~ 21:00,3.2,268,,서울 강남구 영동대로 513 컨벤션센터 2층,15
더라운드 삼성점,중화요리,브레이크타임,매일 11:30 ~ 22:00,2.3,51,,서울 강남구 영동대로 648,32
김돈이 본점,"육류,고기",영업중,월~금 11:00 ~ 05:00,3.9,167,,서울 강남구 선릉로94길 9,12
이대성의 진면목,한식,영업중,매일 10:00 ~ 24:00,4.1,162,,서울 강남구 삼성로100길 23-3 1층,8
팀호완 삼성점,중식,브레이크타임,매일 11:30 ~ 21:30,3.5,723,,서울 강남구 봉은사로86길 30 1층,11
붓처스컷 삼성점,"스테이크,립",영업중,월~토 11:30 ~ 22:00,2.9,96,,서울 강남구 테헤란로87길 17 지하1층,7
대도식당 삼성점,"육류,고기",영업중,월~금 11:00 ~ 22:30,3.1,24,,서울 강남구 삼성로 545 1~3층,8
테라로사 코엑스점,커피전문점,영업중,매일 09:00 ~ 22:00,3.4,132,,서울 강남구 영동대로 513 1층,15
흑돈가 삼성역점,"육류,고기",영업중,매일 11:30 ~ 22:20,2.5,54,,"서울 강남구 봉은사로86길 14 1,2층",14
조인바이트,퓨전요리,영업중,매일 11:00 ~ 02:00,2.7,105,,서울 강남구 선릉로112길 13,24
이남장 삼성점,설렁탕,영업중,월~금 10:00 ~ 22:00,4.2,41,,서울 강남구 봉은사로108길 21,24
비야게레로,양식,영업중,매일 11:30 ~ 21:30,4.0,128,,서울 강남구 봉은사로78길 12 101호,13
장정정,일식집,영업중,월~토 11:00 ~ 24:00,3.7,118,,서울 강남구 삼성로 517,2
차이린,중화요리,영업중,매일 11:30 ~ 21:30,3.5,19,,서울 강남구 삼성로112길 10,19
일일향 삼성점,중화요리,영업중,월~토 11:30 ~ 21:30,3.5,28,,서울 강남구 테헤란로83길 20,6
평가옥 삼성점,한식,영업중,매일 11:00 ~ 22:00,3.1,40,,서울 강남구 삼성로95길 37 1~3층,5
그랜드인터컨티넨탈 서울파르나스 그랜드키친,뷔페,브레이크타임,매일 06:30 ~ 22:00,4.1,134,,서울 강남구 테헤란로 521 1층,11
식물원282,카페,브레이크타임,월~금 11:00 ~ 24:00,4.2,67,,서울 강남구 테헤란로83길 44-1,9
고반식당 삼성점,"육류,고기",영업중,매일 11:30 ~ 22:00,후기미제공,127,,서울 강남구 테헤란로81길 16 1층,4
브루클린더버거조인트 삼성점,햄버거,영업중,매일 11:00 ~ 21:30,3.5,143,,서울 강남구 봉은사로84길 10,14
카페노티드 삼성,디저트카페,영업중,매일 10:00 ~ 21:00,3.6,899,,서울 강남구 테헤란로103길 9 1층,18
